METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","rosen",10,4,80,1,812.484602,0.000000
"DEbest","rosen",10,4,100,2,552.009982,0.000000
"DEbest","rosen",10,4,120,3,552.009982,0.000000
"DEbest","rosen",10,4,140,4,552.009982,0.000000
"DEbest","rosen",10,4,160,5,388.313195,0.000000
"DEbest","rosen",10,4,180,6,388.313195,0.000000
"DEbest","rosen",10,4,200,7,388.313195,0.010000
"DEbest","rosen",10,4,220,8,108.918917,0.010000
"DEbest","rosen",10,4,240,9,108.918917,0.010000
"DEbest","rosen",10,4,260,10,108.918917,0.010000
"DEbest","rosen",10,4,280,11,108.918917,0.010000
"DEbest","rosen",10,4,300,12,108.918917,0.010000
"DEbest","rosen",10,4,320,13,106.511149,0.010000
"DEbest","rosen",10,4,340,14,106.511149,0.010000
"DEbest","rosen",10,4,360,15,96.137335,0.010000
"DEbest","rosen",10,4,380,16,96.137335,0.010000
"DEbest","rosen",10,4,400,17,96.137335,0.010000
"DEbest","rosen",10,4,420,18,50.348679,0.010000
"DEbest","rosen",10,4,440,19,50.348679,0.010000
"DEbest","rosen",10,4,460,20,50.348679,0.010000
"DEbest","rosen",10,4,480,21,50.348679,0.010000
"DEbest","rosen",10,4,500,22,49.385042,0.010000
"DEbest","rosen",10,4,520,23,47.951639,0.010000
"DEbest","rosen",10,4,540,24,47.951639,0.010000
"DEbest","rosen",10,4,560,25,34.717464,0.010000
"DEbest","rosen",10,4,580,26,29.719776,0.010000
"DEbest","rosen",10,4,600,27,26.386652,0.010000
"DEbest","rosen",10,4,620,28,25.226827,0.010000
"DEbest","rosen",10,4,640,29,25.226827,0.010000
"DEbest","rosen",10,4,660,30,24.401572,0.010000
"DEbest","rosen",10,4,680,31,19.833763,0.010000
"DEbest","rosen",10,4,700,32,16.140271,0.010000
"DEbest","rosen",10,4,720,33,16.140271,0.010000
"DEbest","rosen",10,4,740,34,16.140271,0.020000
"DEbest","rosen",10,4,760,35,14.156600,0.020000
"DEbest","rosen",10,4,780,36,14.156600,0.020000
"DEbest","rosen",10,4,800,37,14.156600,0.020000
"DEbest","rosen",10,4,820,38,12.792816,0.020000
"DEbest","rosen",10,4,840,39,12.632549,0.020000
"DEbest","rosen",10,4,860,40,11.496765,0.020000
"DEbest","rosen",10,4,880,41,11.496765,0.020000
"DEbest","rosen",10,4,900,42,11.190055,0.020000
"DEbest","rosen",10,4,920,43,10.929237,0.020000
"DEbest","rosen",10,4,940,44,10.614130,0.020000
"DEbest","rosen",10,4,960,45,10.268985,0.020000
"DEbest","rosen",10,4,980,46,10.268985,0.020000
"DEbest","rosen",10,4,1000,47,10.268985,0.020000
"DEbest","rosen",10,4,1020,48,10.268985,0.020000
"DEbest","rosen",10,4,1040,49,9.994255,0.020000
"DEbest","rosen",10,4,1060,50,9.994255,0.020000
"DEbest","rosen",10,4,1080,51,9.994255,0.020000
"DEbest","rosen",10,4,1100,52,9.994255,0.020000
"DEbest","rosen",10,4,1120,53,9.994255,0.020000
"DEbest","rosen",10,4,1140,54,9.994255,0.020000
"DEbest","rosen",10,4,1160,55,9.994255,0.020000
"DEbest","rosen",10,4,1180,56,9.955574,0.020000
"DEbest","rosen",10,4,1200,57,9.932418,0.020000
"DEbest","rosen",10,4,1220,58,9.691575,0.020000
"DEbest","rosen",10,4,1240,59,9.647374,0.020000
"DEbest","rosen",10,4,1260,60,9.647374,0.020000
"DEbest","rosen",10,4,1280,61,9.647374,0.020000
"DEbest","rosen",10,4,1300,62,9.647374,0.030000
"DEbest","rosen",10,4,1320,63,9.647374,0.030000
"DEbest","rosen",10,4,1340,64,9.647374,0.030000
"DEbest","rosen",10,4,1360,65,9.647374,0.030000
